Cuisine,Meal Name,Ingredient,Ingredient,Quantity (g),Calories,Protein (g),Fat (g),Carb (g)
Persian,Lunch,Zereshk Polo,Saffron,1,2,0,0,0
Persian,Lunch,Zereshk Polo,Salt,3,0,0,0,0
Persian,Lunch,Zereshk Polo,Black Pepper,1,3,0,0,1
Persian,Lunch,Zereshk Polo,Onion,50,20,1,0,5
Persian,Lunch,Zereshk Polo,Oil,10,90,0,10,0
Persian,Lunch,Zereshk Polo,Water,100,0,0,0,0
Persian,Afternoon Snack,Yogurt,,150,90,8,4,6
Persian,Afternoon Snack,Cucumber,,50,8,0,0,2
Persian,Afternoon Snack,Carrot,,50,20,0,0,5
Persian,Afternoon Snack,Dates,,50,140,1,0,37
Persian,Afternoon Snack,Almonds,,30,160,6,14,6
Persian,Afternoon Snack,Walnuts,,30,200,5,20,4
Persian,Afternoon Snack,Pistachios,,30,160,6,13,7
Persian,Afternoon Snack,Apple,,50,25,0,0,6
Persian,Afternoon Snack,Grapes,,50,35,0,0,9
Persian,Afternoon Snack,Banana,,50,45,0,0,12
Persian,Afternoon Snack,Herbal Tea,,200ml,2,0,0,0
Persian,Afternoon Snack,Mint Leaves,,5,1,0,0,0
Persian,Afternoon Snack,Fig,,30,20,0,0,5
Persian,Afternoon Snack,Pomegranate Seeds,,30,15,0,0,4
Persian,Afternoon Snack,Low-fat Yogurt,,50,30,3,1,4
Persian,Afternoon Snack,Orange,,50,24,0,0,6
Persian,Afternoon Snack,Dried Apricot,,20,48,1,0,11
Persian,Afternoon Snack,Almond Butter,,15,90,3,8,3
Persian,Afternoon Snack,Walnut Halves,,15,100,2,10,2
Persian,Dinner,Ghorme Sabzi,Beef Stew Meat,200,500,35,40,0
Persian,Dinner,Ghorme Sabzi,Red Kidney Beans,50,110,7,0,20
Persian,Dinner,Ghorme Sabzi,Spinach,50,12,1,0,2
Persian,Dinner,Ghorme Sabzi,Parsley,20,5,0,0,1
Persian,Dinner,Ghorme Sabzi,Cilantro,20,5,0,0,1
Persian,Dinner,Ghorme Sabzi,Leek,30,10,0,0,2
Persian,Dinner,Ghorme Sabzi,Onion,50,20,1,0,5
Persian,Dinner,Ghorme Sabzi,Lemon Juice,10,4,0,0,1
Persian,Dinner,Ghorme Sabzi,Oil,10,90,0,10,0
Persian,Dinner,Ghorme Sabzi,Salt,3,0,0,0,0
Persian,Dinner,Ghorme Sabzi,Black Pepper,1,3,0,0,1
Persian,Dinner,Fesenjan,Chicken,200,330,30,20,0
Persian,Dinner,Fesenjan,Walnuts,50,330,8,30,8
Persian,Dinner,Fesenjan,Pomegranate Molasses,30,60,0,0,15
Persian,Dinner,Fesenjan,Onion,50,20,1,0,5
Persian,Dinner,Fesenjan,Salt,3,0,0,0,0
Persian,Dinner,Fesenjan,Black Pepper,1,3,0,0,1
Persian,Dinner,Fesenjan,Oil,10,90,0,10,0
Persian,Dinner,Fesenjan,Water,100,0,0,0,0
Persian,Dinner,Fesenjan,Basmati Rice,150,540,10,2,120
Persian,Dinner,Fesenjan,Butter,20,144,0,16,0
Persian,Evening Snack,Dates,,50,140,1,0,37
Persian,Evening Snack,Almonds,,30,160,6,14,6
Persian,Evening Snack,Walnuts,,30,200,5,20,4
Persian,Evening Snack,Pistachios,,30,160,6,13,7
Persian,Evening Snack,Apple,,50,25,0,0,6
Persian,Evening Snack,Carrot,,30,12,0,0,3
Persian,Evening Snack,Cucumber,,50,8,0,0,2
Persian,Evening Snack,Tomato,,50,10,0,0,2
Persian,Evening Snack,Herbal Tea Leaves,,5,2,0,0,0
Persian,Evening Snack,Pomegranate Seeds,,30,15,0,0,4
Persian,Evening Snack,Low-fat Yogurt,,50,30,3,1,4
Persian,Evening Snack,Orange,,50,24,0,0,6
Persian,Evening Snack,Banana,,50,45,0,0,12
Persian,Evening Snack,Grapes,,50,35,0,0,9
Persian,Evening Snack,Dried Fig,,20,48,1,0,11
Persian,Evening Snack,Almond Butter,,15,90,3,8,3
Persian,Evening Snack,Walnut Halves,,15,100,2,10,2
Persian,Evening Snack,Pistachio Kernels,,15,80,3,6,3
Persian,Evening Snack,Herbal Tea,,200ml,2,0,0,0
Italian,Breakfast,Frittata,Eggs,200,280,24,20,2
Italian,Breakfast,Frittata,Parmesan Cheese,30,120,10,8,1
Italian,Breakfast,Frittata,Onion,50,20,1,0,5
Italian,Breakfast,Frittata,Bell Pepper,50,15,0,0,3
Italian,Breakfast,Frittata,Spinach,30,7,1,0,1
Italian,Breakfast,Frittata,Olive Oil,10,90,0,10,0
Italian,Breakfast,Frittata,Salt,3,0,0,0,0
Italian,Breakfast,Frittata,Black Pepper,1,3,0,0,1
Italian,Breakfast,Cappuccino,Whole Milk,150,90,5,5,8
Italian,Breakfast,Cappuccino,Espresso,30,5,0,0,1
Italian,Breakfast,Cornetti Flour,,100,360,10,5,70
Italian,Breakfast,Cornetti Butter,,30,215,0,24,0
Italian,Breakfast,Cornetti Sugar,,10,40,0,0,10
Italian,Breakfast,Cornetti Egg,,50,70,6,5,0
Italian,Breakfast,Cornetti Yeast,,5,15,0,0,3
Italian,Breakfast,Cornetti Milk,,30,20,1,1,3
Italian,Breakfast,Cornetti Vanilla Extract,,2,6,0,0,1
Italian,Breakfast,Cornetti Salt,,1,0,0,0,0
Italian,Breakfast,Cornetti Lemon Zest,,2,2,0,0,1
Italian,Morning Snack,Bruschetta,Tomato,50,10,0,0,2
Italian,Morning Snack,Bruschetta,Basil,5,1,0,0,0
Italian,Morning Snack,Bruschetta,Olive Oil,10,90,0,10,0
Italian,Morning Snack,Bruschetta,Baguette,50,140,5,1,28
Italian,Morning Snack,Bruschetta,Garlic,5,8,0,0,2
Italian,Morning Snack,Mozzarella Stick,Mozzarella,50,150,12,10,1
Italian,Morning Snack,Mozzarella Stick,Bread Crumbs,20,80,3,1,15
Italian,Morning Snack,Mozzarella Stick,Egg,30,60,5,4,0
Italian,Morning Snack,Mozzarella Stick,Oil,10,90,0,10,0
Italian,Morning Snack,Olives,,50,115,1,11,2
Italian,Lunch,Spaghetti Carbonara,Spaghetti,150,540,18,2,108
Italian,Lunch,Spaghetti Carbonara,Egg,50,70,6,5,0
Italian,Lunch,Spaghetti Carbonara,Pancetta,50,250,15,20,0
Italian,Lunch,Spaghetti Carbonara,Parmesan Cheese,30,120,10,8,1
Italian,Lunch,Spaghetti Carbonara,Black Pepper,1,3,0,0,1
Italian,Lunch,Lasagna,Ground Beef,150,360,30,25,0
Italian,Lunch,Lasagna,Lasagna Noodles,100,360,12,2,72
Italian,Lunch,Lasagna,Tomato Sauce,100,40,2,0,10
Italian,Lunch,Lasagna,Ricotta Cheese,50,150,10,10,2
Italian,Lunch,Lasagna,Mozzarella Cheese,50,150,12,10,1
Italian,Lunch,Minestrone Soup,Carrot,50,20,0,0,5
Italian,Lunch,Minestrone Soup,Celery,50,10,0,0,2
Italian,Lunch,Minestrone Soup,Onion,50,20,1,0,5
Italian,Lunch,Minestrone Soup,Zucchini,50,10,0,0,2
Italian,Lunch,Minestrone Soup,Tomato,50,10,0,0,2
Italian,Lunch,Minestrone Soup,Olive Oil,10,90,0,10,0
Italian,Afternoon Snack,Gelato,Milk,100,60,3,3,5
Italian,Afternoon Snack,Gelato,Sugar,20,80,0,0,20
Italian,Afternoon Snack,Gelato,Cream,30,100,1,10,1
Italian,Afternoon Snack,Ciabatta Bread,Flour,50,180,6,1,36
Italian,Afternoon Snack,Ciabatta Bread,Yeast,5,15,0,0,3
Italian,Afternoon Snack,Ciabatta Bread,Salt,3,0,0,0,0
Italian,Afternoon Snack,Ciabatta Bread,Olive Oil,10,90,0,10,0
Italian,Dinner,Margherita Pizza,Dough,150,400,12,2,80
Italian,Dinner,Margherita Pizza,Tomato Sauce,50,20,1,0,4
Italian,Dinner,Margherita Pizza,Mozzarella,100,300,24,20,3
Italian,Dinner,Margherita Pizza,Basil,5,1,0,0,0
Italian,Dinner,Margherita Pizza,Olive Oil,10,90,0,10,0
Italian,Dinner,Risotto,Arborio Rice,150,540,12,2,110
Italian,Dinner,Risotto,Chicken Broth,100,20,2,0,2
Italian,Dinner,Risotto,Parmesan Cheese,30,120,10,8,1
Italian,Dinner,Risotto,Onion,50,20,1,0,5
Italian,Dinner,Risotto,Olive Oil,10,90,0,10,0
Italian,Evening Snack,Amaretti Cookies,Flour,50,180,6,1,36
Italian,Evening Snack,Amaretti Cookies,Almonds,30,160,6,14,6
Italian,Evening Snack,Amaretti Cookies,Sugar,20,80,0,0,20
Italian,Evening Snack,Amaretti Cookies,Egg White,20,30,2,0,0
Italian,Evening Snack,Tiramisu,Mascarpone,50,200,3,20,2
Italian,Evening Snack,Tiramisu,Egg,30,60,6,4,0
Italian,Evening Snack,Tiramisu,Sugar,20,80,0,0,20
Italian,Evening Snack,Tiramisu,Cocoa Powder,5,20,1,1,2
Italian,Evening Snack,Tiramisu,Sponge Cake,50,180,6,4,30
Mexican,Breakfast,Huevos Rancheros,Eggs,200,280,24,20,2
Mexican,Breakfast,Huevos Rancheros,Corn Tortilla,50,110,3,1,22
Mexican,Breakfast,Huevos Rancheros,Black Beans,50,100,7,0,18
Mexican,Breakfast,Huevos Rancheros,Salsa,30,15,0,0,3
Mexican,Breakfast,Huevos Rancheros,Avocado,50,80,1,7,4
Mexican,Breakfast,Huevos Rancheros,Cheddar Cheese,30,120,7,10,1
Mexican,Breakfast,Chilaquiles,Corn Tortilla Chips,50,240,3,12,30
Mexican,Breakfast,Chilaquiles,Green Salsa,50,20,1,0,4
Mexican,Breakfast,Chilaquiles,Cilantro,5,1,0,0,0
Mexican,Breakfast,Chilaquiles,Crema,20,40,1,4,1
Mexican,Breakfast,Chilaquiles,Egg,50,70,6,5,0
Mexican,Breakfast,Breakfast Burrito,Flour Tortilla,60,180,5,3,30
Mexican,Breakfast,Breakfast Burrito,Egg,50,70,6,5,0
Mexican,Breakfast,Breakfast Burrito,Chorizo,50,200,12,18,0
Mexican,Breakfast,Breakfast Burrito,Cheddar Cheese,30,120,7,10,1
Mexican,Breakfast,Breakfast Burrito,Avocado,30,50,1,4,2
Mexican,Morning Snack,Guacamole,Avocado,100,160,2,15,8
Mexican,Morning Snack,Guacamole,Tomato,50,10,0,0,2
Mexican,Morning Snack,Guacamole,Onion,30,12,0,0,3
Mexican,Morning Snack,Guacamole,Lime Juice,10,3,0,0,1
Mexican,Morning Snack,Guacamole,Cilantro,5,1,0,0,0
Mexican,Morning Snack,Tortilla Chips,Corn,50,240,3,12,30
Mexican,Morning Snack,Tajin,Chili Powder,2,5,0,0,1
Mexican,Morning Snack,Fruit Cup,Papaya,50,25,0,0,6
Mexican,Morning Snack,Fruit Cup,Pineapple,50,25,0,0,6
Mexican,Morning Snack,Fruit Cup,Mint Leaves,5,1,0,0,0
Mexican,Lunch,Tacos Al Pastor,Pork,100,250,20,18,0
Mexican,Lunch,Tacos Al Pastor,Corn Tortilla,50,110,3,1,22
Mexican,Lunch,Tacos Al Pastor,Pineapple,20,10,0,0,2
Mexican,Lunch,Tacos Al Pastor,Onion,20,8,0,0,2
Mexican,Lunch,Tacos Al Pastor,Cilantro,5,1,0,0,0
Mexican,Lunch,Chicken Fajitas,Chicken Breast,150,250,30,5,0
Mexican,Lunch,Chicken Fajitas,Bell Peppers,50,15,0,0,3
Mexican,Lunch,Chicken Fajitas,Onion,50,20,1,0,5
Mexican,Lunch,Chicken Fajitas,Olive Oil,10,90,0,10,0
Mexican,Lunch,Chicken Fajitas,Tortilla,50,110,3,1,22
Mexican,Lunch,Enchiladas,Flour Tortilla,60,180,5,3,30
Mexican,Lunch,Enchiladas,Shredded Chicken,100,165,31,4,0
Mexican,Lunch,Enchiladas,Cheese,30,120,7,10,1
Mexican,Lunch,Enchiladas,Enchilada Sauce,50,25,1,0,5
Mexican,Lunch,Enchiladas,Onion,20,8,0,0,2
Mexican,Lunch,Quesadilla,Flour Tortilla,60,180,5,3,30
Mexican,Lunch,Quesadilla,Cheese,50,200,12,16,1
Mexican,Lunch,Quesadilla,Chicken,50,80,10,3,1
Mexican,Lunch,Quesadilla,Olive Oil,10,90,0,10,0
Mexican,Lunch,Sopa Azteca,Chicken Broth,200,30,2,0,2
Mexican,Lunch,Sopa Azteca,Tortilla Strips,50,240,3,12,30
Mexican,Lunch,Sopa Azteca,Avocado,30,50,1,4,2
Mexican,Lunch,Sopa Azteca,Cheese,20,80,4,6,1
Mexican,Lunch,Sopa Azteca,Jalapeno,5,2,0,0,0
Mexican,Afternoon Snack,Elote,Corn,100,90,3,1,19
Mexican,Afternoon Snack,Elote,Mayo,10,70,0,8,0
Mexican,Afternoon Snack,Elote,Cheese,20,80,4,6,1
Mexican,Afternoon Snack,Elote,Chili Powder,2,5,0,0,1
Mexican,Afternoon Snack,Elote,Lime Juice,5,1,0,0,1
Mexican,Afternoon Snack,Churros,Flour,50,180,6,1,36
Mexican,Afternoon Snack,Churros,Sugar,20,80,0,0,20
Mexican,Afternoon Snack,Churros,Egg,30,60,6,5,0
Mexican,Afternoon Snack,Churros,Butter,20,150,0,17,0
Mexican,Afternoon Snack,Churros,Cinnamon,2,5,0,0,1
Mexican,Dinner,Carne Asada,Beef,150,360,30,25,0
Mexican,Dinner,Carne Asada,Olive Oil,10,90,0,10,0
Mexican,Dinner,Carne Asada,Garlic,5,8,0,0,2
Mexican,Dinner,Carne Asada,Lime Juice,10,3,0,0,1
Mexican,Dinner,Fajitas Chicken,Chicken Breast,150,250,30,5,0
Mexican,Dinner,Fajitas Chicken,Bell Pepper,50,15,0,0,3
Mexican,Dinner,Fajitas Chicken,Onion,50,20,1,0,5
Mexican,Dinner,Fajitas Chicken,Olive Oil,10,90,0,10,0
Mexican,Dinner,Fajitas Chicken,Tortilla,50,110,3,1,22
Mexican,Dinner,Tamales,Masa Harina,100,360,7,1,75
Mexican,Dinner,Tamales,Pork Filling,80,200,15,14,0
Mexican,Dinner,Tamales,Corn Husk,5,5,0,0,1
Mexican,Dinner,Tamales,Olive Oil,10,90,0,10,0
Mexican,Dinner,Tamales,Salt,2,0,0,0,0
Mexican,Evening Snack,Paletas,Fruit Puree,100,50,0,0,12
Mexican,Evening Snack,Paletas,Sugar,20,80,0,0,20
Mexican,Evening Snack,Paletas,Water,50,0,0,0,0
Mexican,Evening Snack,Pan Dulce,Flour,50,180,6,1,36
Mexican,Evening Snack,Pan Dulce,Sugar,20,80,0,0,20
Mexican,Evening Snack,Pan Dulce,Butter,20,150,0,17,0
Mexican,Evening Snack,Pan Dulce,Egg,30,70,6,5,0
Mexican,Evening Snack,Pan Dulce,Yeast,5,15,0,0,3
Mediterranean,Breakfast,Shakshuka,Eggs,200,280,24,20,2
Mediterranean,Breakfast,Shakshuka,Tomatoes,100,18,1,0,4
Mediterranean,Breakfast,Shakshuka,Red Bell Pepper,50,15,0,0,3
Mediterranean,Breakfast,Shakshuka,Onion,50,20,0,0,5
Mediterranean,Breakfast,Shakshuka,Olive Oil,10,90,0,10,0
Mediterranean,Breakfast,Shakshuka,Garlic,5,8,0,0,2
Mediterranean,Breakfast,Shakshuka,Parsley,5,1,0,0,0
Mediterranean,Breakfast,Greek Yogurt Bowl,Greek Yogurt,150,120,12,5,8
Mediterranean,Breakfast,Greek Yogurt Bowl,Honey,20,60,0,0,17
Mediterranean,Breakfast,Greek Yogurt Bowl,Blueberries,50,29,0,0,7
Meditrean,Breakfast,Greek Yogurt Bowl,Almonds,20,120,4,10,4
Mediterranean,Breakfast,Greek Yogurt Bowl,Granola,30,120,3,4,20
Mediterranean,Breakfast,Mediterranean Omelette,Eggs,200,280,24,20,2
Mediterranean,Breakfast,Mediterranean Omelette,Feta Cheese,30,80,5,6,1
Mediterranean,Breakfast,Mediterranean Omelette,Spinach,50,12,1,0,2
Mediterranean,Breakfast,Mediterranean Omelette,Tomatoes,50,9,0,0,2
Mediterranean,Breakfast,Mediterranean Omelette,Olive Oil,10,90,0,10,0
Mediterranean,Morning Snack,Hummus,Chickpeas,100,164,9,3,27
Mediterranean,Morning Snack,Hummus,Tahini,20,120,4,10,3
Mediterranean,Morning Snack,Hummus,Lemon Juice,10,3,0,0,1
Mediterranean,Morning Snack,Hummus,Garlic,5,8,0,0,2
Meditanean,Morning Snack,Hummus,Olive Oil,10,90,0,10,0
Mediterranean,Morning Snack,Greek Salad,Tomatoes,50,9,0,0,2
Mediterranean,Morning Snack,Greek Salad,Cucumber,50,8,0,0,2
Meditanean,Morning Snack,Greek Salad,Onion,20,8,0,0,2
Mediterranean,Morning Snack,Greek Salad,Feta Cheese,30,80,5,6,1
Mediterranean,Morning Snack,Greek Salad,Olive Oil,10,90,0,10,0
Mediterranean,Lunch,Grilled Chicken Souvlaki,Chicken Breast,150,250,30,5,0
Mediterranean,Lunch,Grilled Chicken Souvlaki,Olive Oil,10,90,0,10,0
Mediterranean,Lunch,Grilled Chicken Souvlaki,Lemon Juice,10,3,0,0,1
Mediterranean,Lunch,Grilled Chicken Souvlaki,Garlic,5,8,0,0,2
Mediterranean,Lunch,Grilled Chicken Souvlaki,Oregano,2,5,0,0,1
Mediterranean,Lunch,Moussaka,Eggplant,150,35,1,0,8
Mediterranean,Lunch,Moussaka,Ground Beef,100,250,20,18,0
Mediterranean,Lunch,Moussaka,Onion,50,20,0,0,5
Mediterranean,Lunch,Moussaka,Tomato Paste,20,15,1,0,3
Mediterranean,Lunch,Moussaka,Béchamel Sauce,50,120,4,8,6
Mediterranean,Lunch,Moussaka,Olive Oil,10,90,0,10,0
Mediterranean,Lunch,Tabbouleh,Bulgur,50,150,5,1,33
Mediterranean,Lunch,Tabbouleh,Parsley,50,20,2,0,4
Meditanean,Lunch,Tabbouleh,Tomatoes,50,9,0,0,2
Meditanean,Lunch,Tabbouleh,Cucumber,50,8,0,0,2
Meditanean,Lunch,Tabbouleh,Lemon Juice,10,3,0,0,1
Mediterranean,Lunch,Falafel,Chickpeas,100,164,9,3,27
Mediterranean,Lunch,Falafel,Parsley,10,2,0,0,0
Mediterranean,Lunch,Falafel,Garlic,5,8,0,0,2
Meditanean,Lunch,Falafel,Cumin,2,5,0,0,1
Mediterranean,Lunch,Falafel,Olive Oil,10,90,0,10,0
Mediterranean,Afternoon Snack,Olives,Black Olives,50,115,1,11,6
Mediterranean,Afternoon Snack,Olives,Green Olives,50,145,1,15,3
Mediterranean,Afternoon Snack,Nuts,Mixed Nuts,30,180,5,15,5
Mediterranean,Afternoon Snack,Fruit,Orange,100,47,1,0,12
Mediterranean,Afternoon Snack,Fruit,Apple,100,52,0,0,14
Mediterranean,Dinner,Grilled Salmon,Salmon,150,280,25,18,0
Mediterranean,Dinner,Grilled Salmon,Olive Oil,10,90,0,10,0
Mediterranean,Dinner,Grilled Salmon,Lemon Juice,10,3,0,0,1
Mediterranean,Dinner,Grilled Salmon,Garlic,5,8,0,0,2
Mediterranean,Dinner,Grilled Salmon,Parsley,5,1,0,0,0
Mediterranean,Dinner,Ratatouille,Zucchini,100,17,1,0,3
Mediterranean,Dinner,Ratatouille,Eggplant,100,25,1,0,6
Mediterranean,Dinner,Ratatouille,Tomato,50,9,0,0,2
Mediterranean,Dinner,Ratatouille,Bell Pepper,50,15,0,0,3
Mediterranean,Dinner,Ratatouille,Olive Oil,10,90,0,10,0
Mediterranean,Dinner,Pasta Primavera,Pasta,100,350,12,2,70
Mediterranean,Dinner,Pasta Primavera,Zucchini,50,9,1,0,2
Mediterranean,Dinner,Pasta Primavera,Broccoli,50,17,1,0,4
Mediterranean,Dinner,Pasta Primavera,Olive Oil,10,90,0,10,0
Mediterranean,Dinner,Pasta Primavera,Parmesan Cheese,20,80,7,5,1
Mediterranean,Evening Snack,Yogurt with Honey,Greek Yogurt,150,120,12,5,8
Mediterranean,Evening Snack,Yogurt with Honey,Honey,20,60,0,0,17
Mediterranean,Evening Snack,Fruit Salad,Apple,50,26,0,0,7
Mediterranean,Evening Snack,Fruit Salad,Orange,50,23,0,0,6
Mediterranean,Evening Snack,Fruit Salad,Grapes,50,35,0,0,9
Mediterranean,Evening Snack,Fruit Salad,Mint Leaves,5,1,0,0,0
Indian,Breakfast,Masala Omelette,Eggs,200,280,24,20,2
Indian,Breakfast,Masala Omelette,Onion,50,20,0,0,5
Indian,Breakfast,Masala Omelette,Tomatoes,50,9,0,0,2
Indian,Breakfast,Masala Omelette,Green Chili,5,3,0,0,1
Indian,Breakfast,Masala Omelette,Cilantro,5,1,0,0,0
Indian,Breakfast,Paneer Paratha,Whole Wheat Flour,100,340,12,2,70
Indian,Breakfast,Paneer Paratha,Paneer,50,120,8,9,2
Indian,Breakfast,Paneer Paratha,Ghee,10,90,0,10,0
Indian,Breakfast,Paneer Paratha,Cumin Seeds,2,8,0,0,1
Indian,Breakfast,Paneer Paratha,Salt,1,0,0,0,0
Indian,Breakfast,Idli,Rice Flour,100,350,7,1,77
Indian,Breakfast,Idli,Urad Dal,50,150,10,1,27
Indian,Breakfast,Idli,Water,100,0,0,0,0
Indian,Breakfast,Idli,Salt,2,0,0,0,0
Indian,Breakfast,Idli,Oil,5,45,0,5,0
Indian,Morning Snack,Samosa,Potatoes,50,80,2,0,18
Indian,Morning Snack,Samosa,Peas,20,15,1,0,3
Indian,Morning Snack,Samosa,Onion,20,8,0,0,2
Indian,Morning Snack,Samosa,Whole Wheat Flour,30,102,3,1,21
Indian,Morning Snack,Samosa,Ghee,10,90,0,10,0
Indian,Morning Snack,Vada,Potatoes,50,80,2,0,18
Indian,Morning Snack,Vada,Urad Dal,30,110,7,0,20
Indian,Morning Snack,Vada,Spices,5,5,0,0,1
Indian,Morning Snack,Vada,Oil,10,90,0,10,0
Indian,Morning Snack,Vada,Curry Leaves,2,1,0,0,0
Indian,Lunch,Butter Chicken,Chicken,150,250,30,5,0
Indian,Lunch,Butter Chicken,Butter,20,145,0,16,0
Indian,Lunch,Butter Chicken,Cream,30,120,1,12,1
Indian,Lunch,Butter Chicken,Tomatoes,50,9,0,0,2
Indian,Lunch,Butter Chicken,Onion,50,20,0,0,5
Indian,Lunch,Butter Chicken,Garlic,5,8,0,0,2
Indian,Lunch,Butter Chicken,Ginger,5,4,0,0,1
Indian,Lunch,Butter Chicken,Spices,5,15,0,1,3
Indian,Lunch,Butter Chicken,Cilantro,5,1,0,0,0
Indian,Lunch,Chole,Chickpeas,100,164,9,3,27
Indian,Lunch,Chole,Onion,50,20,0,0,5
Indian,Lunch,Chole,Tomatoes,50,9,0,0,2
Indian,Lunch,Chole,Ginger,5,4,0,0,1
Indian,Lunch,Chole,Garlic,5,8,0,0,2
Indian,Lunch,Chole,Oil,10,90,0,10,0
Indian,Lunch,Chole,Spices,5,15,0,1,3
Indian,Lunch,Chole,Cilantro,5,1,0,0,0
Indian,Lunch,Chole,Lemon Juice,10,3,0,0,1
Indian,Lunch,Palak Paneer,Spinach,100,23,3,0,4
Indian,Lunch,Palak Paneer,Paneer,50,120,8,9,2
Indian,Lunch,Palak Paneer,Onion,50,20,0,0,5
Indian,Lunch,Palak Paneer,Tomatoes,50,9,0,0,2
Indian,Lunch,Palak Paneer,Cream,20,80,1,8,1
